,CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,Telefones,SiglaPartidoParlamentar,UfParlamentar,Bloco,MembroMesa,MembroLideranca,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,UrlPaginaParticular
0,3806,836,Zequinha Marinho,José da Cruz Marinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3806,sen.zequinhamarinho@senado.leg.br,33036623,PODEMOS,PA,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
1,5783,818,Zenaide Maia,Zenaide Maia Calado Pereira dos Santos,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5783,sen.zenaidemaia@senado.leg.br,33032371,PSD,RN,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
2,5070,870,Wilder Morais,Wilder Pedro de Morais,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5070,sen.wildermorais@senado.leg.br,33036440,PL,GO,,NÃO,NÃO,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,https://www.wildermorais.com.br/
3,5411,808,Weverton,Weverton Rocha Marques de Sousa,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411,sen.wevertonrocha@senado.leg.br,33034161,PDT,MA,,Sim,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
4,5748,821,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5748,sen.venezianovitaldorego@senado.leg.br,33032252,MDB,PB,,Sim,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
5,5899,864,Vanderlan Cardoso,Vanderlan Vieira Cardoso,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5899,sen.vanderlancardoso@senado.leg.br,33032092,PSD,GO,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
6,5736,876,Tereza Cristina,Tereza Cristina Correa da Costa Dias,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5736,sen.terezacristina@senado.leg.br,33032431,PP,MS,,NÃO,Sim,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
7,6338,879,Teresa Leitão,Maria Teresa Leitão de Melo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6338.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6338,sen.teresaleitao@senado.leg.br,33032423,PT,PE,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
8,4560,850,Sérgio Petecão,Sérgio de Oliveira Cunha,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560,sen.sergiopetecao@senado.leg.br,33034086,PSD,AC,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,http://www.petecao.com.br/
9,5959,817,Styvenson Valentim,Eann Styvenson Valentim Mendes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5959,sen.styvensonvalentim@senado.leg.br,33031148,PODEMOS,RN,,Sim,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
