ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.NumeroTelefone;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.OrdemPublicacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.IndicadorFax;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.CodigoBloco;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.NomeBloco;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.NomeApelido;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.DataCriacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroMesa;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroLideranca;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.CodigoMandato;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.CodigoExercicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataLeitura
5672;800;Alan Rick;Alan Rick Miranda;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672;;sen.alanrick@senado.leg.br;33036333;1;Não;UNIÃO;AC;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5672;800;Alan Rick;Alan Rick Miranda;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672;;sen.alanrick@senado.leg.br;;;;UNIÃO;AC;336;Bloco Parlamentar Democracia;BLDEM;2023-02-02;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;596;AC;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;596;AC;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;596;AC;;;;;;;Titular;;;;1º Suplente;6343;Gemil Junior;;;;;;
;;;;;;;;;;;;;;;;;;;;;596;AC;;;;;;;Titular;;;;2º Suplente;6344;Coronel Casagrande;;;;;;
;;;;;;;;;;;;;;;;;;;;;596;AC;;;;;;;Titular;;;;;;;3028;2023-02-01;;;;
5982;829;Alessandro Vieira;Alessandro Vieira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982;;sen.alessandrovieira@senado.leg.br;33039011;1;Não;MDB;SE;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
5982;829;Alessandro Vieira;Alessandro Vieira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982;;sen.alessandrovieira@senado.leg.br;33039014;2;Não;MDB;SE;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
5982;829;Alessandro Vieira;Alessandro Vieira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982;;sen.alessandrovieira@senado.leg.br;33039019;3;Não;MDB;SE;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
5982;829;Alessandro Vieira;Alessandro Vieira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982;;sen.alessandrovieira@senado.leg.br;;;;MDB;SE;336;Bloco Parlamentar Democracia;BLDEM;2023-02-02;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;559;SE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;559;SE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;559;SE;;;;;;;Titular;;;;1º Suplente;5980;Fernando Carvalho;;;;;;
;;;;;;;;;;;;;;;;;;;;;559;SE;;;;;;;Titular;;;;2º Suplente;5981;Major Ildomario;;;;;;
;;;;;;;;;;;;;;;;;;;;;559;SE;;;;;;;Titular;;;;;;;2888;2019-02-01;;;;
6358;920;Ana Paula Lobato;Ana Paula Dias Lobato Nova Alves;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358;;sen.anapaulalobato@senado.leg.br;33032967;1;Não;PSB;MA;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
6358;920;Ana Paula Lobato;Ana Paula Dias Lobato Nova Alves;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358;;sen.anapaulalobato@senado.leg.br;;;;PSB;MA;335;Bloco Parlamentar da Resistência Democrática;BLPRD;2023-02-01;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;602;MA;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;602;MA;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;602;MA;;;;;;;1º Suplente;Titular;4605;Flávio Dino;;;;;;;;;
